Country,Sex,Age,age_categories,Continent,Year,UnemploymentRate,latitude,longitude
Comoros,Female,25+,Adults,Africa,2014,0.0624378844449219,-11.875001,43.872219
Comoros,Male,15-24,Youth,Africa,2014,0.1308254317870477,-11.875001,43.872219
Comoros,Male,25+,Adults,Africa,2014,0.0507131537242472,-11.875001,43.872219
Congo,Female,15-24,Youth,Africa,2014,0.530513846732386,,
Congo,Female,25+,Adults,Africa,2014,0.2172231325042306,,
Congo,Male,25+,Adults,Africa,2014,0.1733594778264256,,
Congo,Male,15-24,Youth,Africa,2014,0.5625050363963576,,
Costa Rica,Total,25+,Adults,North America,2014,0.0706438529103655,9.748917,-83.753428
Costa Rica,Total,15-24,Youth,North America,2014,0.3205699857637863,9.748917,-83.753428
Costa Rica,Female,15-24,Youth,North America,2014,0.3974724005479599,9.748917,-83.753428
Costa Rica,Female,25+,Adults,North America,2014,0.0909506030245239,9.748917,-83.753428
Costa Rica,Male,15-24,Youth,North America,2014,0.279325257191974,9.748917,-83.753428
Costa Rica,Male,25+,Adults,North America,2014,0.0588788310188294,9.748917,-83.753428
Cote d'Ivoire,Female,25+,Adults,Africa,2014,0.0440113889709634,,
Cote d'Ivoire,Total,25+,Adults,Africa,2014,0.04840536499324,,
Cote d'Ivoire,Male,25+,Adults,Africa,2014,0.0313062397593274,,
Cote d'Ivoire,Male,15-24,Youth,Africa,2014,0.0500416342098901,,
Cote d'Ivoire,Female,15-24,Youth,Africa,2014,0.0767412501007279,,
Cote d'Ivoire,Total,15-24,Youth,Africa,2014,0.04840536499324,,
Croatia,Female,25+,Adults,Europe,2014,0.213100002686078,45.1,15.2
Croatia,Male,15-24,Youth,Europe,2014,0.603172258185823,45.1,15.2
Croatia,Male,25+,Adults,Europe,2014,0.1804910150688979,45.1,15.2
Croatia,Total,15-24,Youth,Europe,2014,0.6108141502592065,45.1,15.2
Croatia,Total,25+,Adults,Europe,2014,0.1955330521904966,45.1,15.2
Croatia,Female,15-24,Youth,Europe,2014,0.6227537672244756,45.1,15.2
Cuba,Male,15-24,Youth,North America,2014,0.0884794112116898,21.521757,-77.781167
Cuba,Male,25+,Adults,North America,2014,0.024832791640925,21.521757,-77.781167
Cuba,Female,15-24,Youth,North America,2014,0.0880496387225012,21.521757,-77.781167
Cuba,Female,25+,Adults,North America,2014,0.0355233823094899,21.521757,-77.781167
Cyprus,Total,25+,Adults,Europe,2014,0.18959681968358,35.126413,33.429859
Cyprus,Total,15-24,Youth,Europe,2014,0.4835612022885385,35.126413,33.429859
Cyprus,Male,15-24,Youth,Europe,2014,0.4914179806065164,35.126413,33.429859
Cyprus,Female,15-24,Youth,Europe,2014,0.4608907034838432,35.126413,33.429859
Cyprus,Female,25+,Adults,Europe,2014,0.1726610975314942,35.126413,33.429859
Cyprus,Male,25+,Adults,Europe,2014,0.1991055360068764,35.126413,33.429859
Czechia,Total,15-24,Youth,Europe,2014,0.2125896478551666,,
Czechia,Male,25+,Adults,Europe,2014,0.0576969566735609,,
Czechia,Male,15-24,Youth,Europe,2014,0.2016841709420075,,
Czechia,Female,25+,Adults,Europe,2014,0.0905611217061967,,
Czechia,Female,15-24,Youth,Europe,2014,0.2291761798597867,,
Czechia,Total,25+,Adults,Europe,2014,0.0722420693545354,,
Democratic Republic of Congo,Total,25+,Adults,Africa,2014,0.0728934432834618,,
Democratic Republic of Congo,Female,15-24,Youth,Africa,2014,0.0864917134491928,,
Democratic Republic of Congo,Male,25+,Adults,Africa,2014,0.0547825619812511,,
Democratic Republic of Congo,Male,15-24,Youth,Africa,2014,0.1423755674339896,,
Democratic Republic of Congo,Female,25+,Adults,Africa,2014,0.0363963576781541,,
Democratic Republic of Congo,Total,15-24,Youth,Africa,2014,0.0728934432834618,,
Denmark,Total,25+,Adults,Europe,2014,0.075895135512638,56.26392,9.501785
Denmark,Female,15-24,Youth,Europe,2014,0.1721776034811571,56.26392,9.501785
Denmark,Female,25+,Adults,Europe,2014,0.0816567729458218,56.26392,9.501785
Denmark,Male,15-24,Youth,Europe,2014,0.2080233151575385,56.26392,9.501785
Denmark,Total,15-24,Youth,Europe,2014,0.1907652636385613,56.26392,9.501785
Denmark,Male,25+,Adults,Europe,2014,0.0706035617395041,56.26392,9.501785
Djibouti,Female,15-24,Youth,Africa,2014,1.0,11.825138,42.590275
Djibouti,Female,25+,Adults,Africa,2014,0.3589809019850117,11.825138,42.590275
Djibouti,Male,15-24,Youth,Africa,2014,0.9716887372747052,11.825138,42.590275
Djibouti,Male,25+,Adults,Africa,2014,0.208641113110747,11.825138,42.590275
Djibouti,Total,25+,Adults,Africa,2014,0.5546213972978055,11.825138,42.590275
Djibouti,Total,15-24,Youth,Africa,2014,0.5546213972978055,11.825138,42.590275
Dominican Republic,Total,25+,Adults,North America,2014,0.0701066372988799,18.735693,-70.162651
Dominican Republic,Total,15-24,Youth,North America,2014,0.1799403690671251,18.735693,-70.162651
Dominican Republic,Male,25+,Adults,North America,2014,0.0507534448951086,18.735693,-70.162651
Dominican Republic,Female,25+,Adults,North America,2014,0.1002444331032259,18.735693,-70.162651
Dominican Republic,Female,15-24,Youth,North America,2014,0.2800102070966183,18.735693,-70.162651
Dominican Republic,Male,15-24,Youth,North America,2014,0.124889199280131,18.735693,-70.162651
East Timor,Male,15-24,Youth,Asia,2014,0.123559590641704,,
East Timor,Male,25+,Adults,Asia,2014,0.0212200166536839,,
East Timor,Total,25+,Adults,Asia,2014,0.0842533150680025,,
East Timor,Total,15-24,Youth,Asia,2014,0.0842533150680025,,
East Timor,Female,25+,Adults,Asia,2014,0.0405463482768809,,
East Timor,Female,15-24,Youth,Asia,2014,0.2043030970480002,,
Ecuador,Male,15-24,Youth,South America,2014,0.1007547879341373,-1.831239,-78.183406
Ecuador,Total,25+,Adults,South America,2014,0.0311853662467431,-1.831239,-78.183406
Ecuador,Total,15-24,Youth,South America,2014,0.1212764242928899,-1.831239,-78.183406
Ecuador,Female,15-24,Youth,South America,2014,0.1592709984152139,-1.831239,-78.183406
Ecuador,Male,25+,Adults,South America,2014,0.0277471863332348,-1.831239,-78.183406
Ecuador,Female,25+,Adults,South America,2014,0.0364097880684412,-1.831239,-78.183406
Egypt,Total,25+,Adults,Africa,2014,0.1146686722716162,26.820553,30.802498
Egypt,Total,15-24,Youth,Africa,2014,0.4325660103682613,26.820553,30.802498
Egypt,Female,15-24,Youth,Africa,2014,0.6071745144913911,26.820553,30.802498
Egypt,Female,25+,Adults,Africa,2014,0.2371404013000618,26.820553,30.802498
Egypt,Male,15-24,Youth,Africa,2014,0.3643933492707298,26.820553,30.802498
Egypt,Male,25+,Adults,Africa,2014,0.0772381745413521,26.820553,30.802498
El Salvador,Total,15-24,Youth,North America,2014,0.1325042305729404,13.794185,-88.89653
El Salvador,Total,25+,Adults,North America,2014,0.0359665851889655,13.794185,-88.89653
El Salvador,Female,15-24,Youth,North America,2014,0.1219345134169599,13.794185,-88.89653
El Salvador,Male,25+,Adults,North America,2014,0.0430444008702892,13.794185,-88.89653
El Salvador,Male,15-24,Youth,North America,2014,0.1316715463751376,13.794185,-88.89653
El Salvador,Female,25+,Adults,North America,2014,0.0245373230546079,13.794185,-88.89653
Equatorial Guinea,Male,15-24,Youth,Africa,2014,0.1937468102823068,1.650801,10.267895
Equatorial Guinea,Male,25+,Adults,Africa,2014,0.0803003035268205,1.650801,10.267895
Equatorial Guinea,Female,25+,Adults,Africa,2014,0.1012785731553359,1.650801,10.267895
Equatorial Guinea,Female,15-24,Youth,Africa,2014,0.2287195465900239,1.650801,10.267895
Eritrea,Female,25+,Adults,Africa,2014,0.0607187944881678,15.179384,39.782334
Eritrea,Male,15-24,Youth,Africa,2014,0.1219210830266727,15.179384,39.782334
Eritrea,Male,25+,Adults,Africa,2014,0.043017540089715,15.179384,39.782334
Eritrea,Female,15-24,Youth,Africa,2014,0.1570281232372612,15.179384,39.782334
Estonia,Male,25+,Adults,Europe,2014,0.0906954256090682,58.595272,25.013607
Estonia,Female,25+,Adults,Europe,2014,0.087458701549867,58.595272,25.013607
Estonia,Female,15-24,Youth,Europe,2014,0.1335518010153375,58.595272,25.013607
Estonia,Total,15-24,Youth,Europe,2014,0.2006231701093233,58.595272,25.013607
Estonia,Total,25+,Adults,Europe,2014,0.0890434876037497,58.595272,25.013607
Estonia,Male,15-24,Youth,Europe,2014,0.2573799994627844,58.595272,25.013607
Eswatini,Total,15-24,Youth,Africa,2014,0.4082167127776733,,
Eswatini,Total,25+,Adults,Africa,2014,0.4082167127776733,,
Eswatini,Female,15-24,Youth,Africa,2014,0.6872062102124689,,
Eswatini,Male,15-24,Youth,Africa,2014,0.6252115286470226,,
Eswatini,Male,25+,Adults,Africa,2014,0.2287866985414596,,
Eswatini,Female,25+,Adults,Africa,2014,0.2670230196889521,,
Ethiopia,Female,15-24,Youth,Africa,2014,0.0625587579575062,9.145,40.489673
Ethiopia,Male,25+,Adults,Africa,2014,0.0160761771737086,9.145,40.489673
Ethiopia,Male,15-24,Youth,Africa,2014,0.0358322812860941,9.145,40.489673
Ethiopia,Female,25+,Adults,Africa,2014,0.030043783072336,9.145,40.489673
Ethiopia,Total,25+,Adults,Africa,2014,0.0347220356890237,9.145,40.489673
Ethiopia,Total,15-24,Youth,Africa,2014,0.0347220356890237,9.145,40.489673
Fiji,Total,15-24,Youth,Oceania,2014,0.2429960514652556,-16.578193,179.414413
Fiji,Total,25+,Adults,Oceania,2014,0.051075774262,-16.578193,179.414413
Fiji,Female,15-24,Youth,Oceania,2014,0.2541969969647318,-16.578193,179.414413
Fiji,Female,25+,Adults,Oceania,2014,0.0292379596551075,-16.578193,179.414413
Fiji,Male,15-24,Youth,Oceania,2014,0.1569609712858256,-16.578193,179.414413
Fiji,Male,25+,Adults,Oceania,2014,0.0318703161513873,-16.578193,179.414413
Finland,Female,15-24,Youth,Europe,2014,0.2450643315694754,61.92411,25.748151
Finland,Male,15-24,Youth,Europe,2014,0.3025195412178678,61.92411,25.748151
Finland,Male,25+,Adults,Europe,2014,0.0999489645169088,61.92411,25.748151
Finland,Total,25+,Adults,Europe,2014,0.0936098203013779,61.92411,25.748151
Finland,Total,15-24,Youth,Europe,2014,0.2755647479115743,61.92411,25.748151
Finland,Female,25+,Adults,Europe,2014,0.0857396115931129,61.92411,25.748151
