Country,Sex,Age,age_categories,Continent,Year,UnemploymentRate
Dominican Republic,Total,25+,Adults,North America,2014,0.0701066372988799
Dominican Republic,Total,15-24,Youth,North America,2014,0.1799403690671251
Dominican Republic,Male,25+,Adults,North America,2014,0.05075344489510865
Dominican Republic,Female,25+,Adults,North America,2014,0.10024443310322598
Dominican Republic,Female,15-24,Youth,North America,2014,0.2800102070966183
Dominican Republic,Male,15-24,Youth,North America,2014,0.12488919928013109
East Timor,Male,15-24,Youth,Asia,2014,0.12355959064170406
East Timor,Male,25+,Adults,Asia,2014,0.02122001665368396
East Timor,Total,25+,Adults,Asia,2014,0.08425331506800256
East Timor,Total,15-24,Youth,Asia,2014,0.08425331506800256
East Timor,Female,25+,Adults,Asia,2014,0.040546348276880924
East Timor,Female,15-24,Youth,Asia,2014,0.20430309704800023
Ecuador,Male,15-24,Youth,South America,2014,0.10075478793413738
Ecuador,Total,25+,Adults,South America,2014,0.031185366246743135
Ecuador,Total,15-24,Youth,South America,2014,0.12127642429288997
Ecuador,Female,15-24,Youth,South America,2014,0.15927099841521394
Ecuador,Male,25+,Adults,South America,2014,0.027747186333234846
Ecuador,Female,25+,Adults,South America,2014,0.036409788068441265
Egypt,Total,25+,Adults,Africa,2014,0.11466867227161621
Egypt,Total,15-24,Youth,Africa,2014,0.4325660103682613
Egypt,Female,15-24,Youth,Africa,2014,0.6071745144913911
Egypt,Female,25+,Adults,Africa,2014,0.2371404013000618
Egypt,Male,15-24,Youth,Africa,2014,0.3643933492707298
Egypt,Male,25+,Adults,Africa,2014,0.07723817454135218
El Salvador,Total,15-24,Youth,North America,2014,0.13250423057294047
El Salvador,Total,25+,Adults,North America,2014,0.03596658518896559
El Salvador,Female,15-24,Youth,North America,2014,0.1219345134169599
El Salvador,Male,25+,Adults,North America,2014,0.043044400870289296
El Salvador,Male,15-24,Youth,North America,2014,0.13167154637513767
El Salvador,Female,25+,Adults,North America,2014,0.02453732305460797
Equatorial Guinea,Male,15-24,Youth,Africa,2014,0.1937468102823068
Equatorial Guinea,Male,25+,Adults,Africa,2014,0.0803003035268205
Equatorial Guinea,Female,25+,Adults,Africa,2014,0.1012785731553359
Equatorial Guinea,Female,15-24,Youth,Africa,2014,0.2287195465900239
Eritrea,Female,25+,Adults,Africa,2014,0.060718794488167825
Eritrea,Male,15-24,Youth,Africa,2014,0.12192108302667277
Eritrea,Male,25+,Adults,Africa,2014,0.043017540089715006
Eritrea,Female,15-24,Youth,Africa,2014,0.15702812323726129
Estonia,Male,25+,Adults,Europe,2014,0.09069542560906821
Estonia,Female,25+,Adults,Europe,2014,0.08745870154986704
Estonia,Female,15-24,Youth,Europe,2014,0.1335518010153375
Estonia,Total,15-24,Youth,Europe,2014,0.20062317010932337
Estonia,Total,25+,Adults,Europe,2014,0.08904348760374978
Estonia,Male,15-24,Youth,Europe,2014,0.2573799994627844
Eswatini,Total,15-24,Youth,Africa,2014,0.40821671277767335
Eswatini,Total,25+,Adults,Africa,2014,0.40821671277767335
Eswatini,Female,15-24,Youth,Africa,2014,0.6872062102124689
Eswatini,Male,15-24,Youth,Africa,2014,0.6252115286470226
Eswatini,Male,25+,Adults,Africa,2014,0.22878669854145964
Eswatini,Female,25+,Adults,Africa,2014,0.26702301968895215
Ethiopia,Female,15-24,Youth,Africa,2014,0.06255875795750625
Ethiopia,Male,25+,Adults,Africa,2014,0.01607617717370867
Ethiopia,Male,15-24,Youth,Africa,2014,0.03583228128609417
Ethiopia,Female,25+,Adults,Africa,2014,0.030043783072336083
Ethiopia,Total,25+,Adults,Africa,2014,0.03472203568902379
Ethiopia,Total,15-24,Youth,Africa,2014,0.03472203568902379
Fiji,Total,15-24,Youth,Oceania,2014,0.2429960514652556
Fiji,Total,25+,Adults,Oceania,2014,0.05107577426200005
Fiji,Female,15-24,Youth,Oceania,2014,0.2541969969647318
Fiji,Female,25+,Adults,Oceania,2014,0.029237959655107584
Fiji,Male,15-24,Youth,Oceania,2014,0.1569609712858256
Fiji,Male,25+,Adults,Oceania,2014,0.03187031615138736
Finland,Female,15-24,Youth,Europe,2014,0.24506433156947544
Finland,Male,15-24,Youth,Europe,2014,0.3025195412178678
Finland,Male,25+,Adults,Europe,2014,0.09994896451690888
Finland,Total,25+,Adults,Europe,2014,0.09360982030137796
Finland,Total,15-24,Youth,Europe,2014,0.27556474791157437
Finland,Female,25+,Adults,Europe,2014,0.0857396115931129
France,Total,15-24,Youth,Europe,2014,0.33656558059577213
France,Total,25+,Adults,Europe,2014,0.11943646082355154
France,Female,25+,Adults,Europe,2014,0.11718015525531174
France,Female,15-24,Youth,Europe,2014,0.3228665825028876
France,Male,15-24,Youth,Europe,2014,0.3428912944210159
France,Male,25+,Adults,Europe,2014,0.11975879019044296
French Polynesia,Female,15-24,Youth,Oceania,2014,0.5248059308603509
French Polynesia,Female,25+,Adults,Oceania,2014,0.1059120578043998
French Polynesia,Male,15-24,Youth,Oceania,2014,0.4341910875930055
French Polynesia,Male,25+,Adults,Oceania,2014,0.09538263181928067
Gabon,Male,25+,Adults,Africa,2014,0.16504606623868492
Gabon,Male,15-24,Youth,Africa,2014,0.4116683230814687
Gabon,Female,25+,Adults,Africa,2014,0.3532058341615408
Gabon,Female,15-24,Youth,Africa,2014,0.5581804507238981
Gambia,Male,25+,Adults,Africa,2014,0.07600257863493513
Gambia,Total,25+,Adults,Africa,2014,0.12380357606525379
Gambia,Total,15-24,Youth,Africa,2014,0.12380357606525379
Gambia,Female,15-24,Youth,Africa,2014,0.19041607349109566
Gambia,Female,25+,Adults,Africa,2014,0.11176770796959361
Gambia,Male,15-24,Youth,Africa,2014,0.14072362942867123
Georgia,Total,25+,Adults,Asia,2014,0.20365843831421743
Georgia,Total,15-24,Youth,Asia,2014,0.5125439845281904
Georgia,Female,25+,Adults,Asia,2014,0.17364151602245562
Georgia,Female,15-24,Youth,Asia,2014,0.44384753820946043
Georgia,Male,15-24,Youth,Asia,2014,0.5423325901850709
Georgia,Male,25+,Adults,Asia,2014,0.22777941926992398
Germany,Female,15-24,Youth,Europe,2014,0.09417389669343791
Germany,Male,25+,Adults,Europe,2014,0.06578205162642027
Germany,Male,15-24,Youth,Europe,2014,0.11141851782212793
Germany,Total,15-24,Youth,Europe,2014,0.10195009266969299
Germany,Total,25+,Adults,Europe,2014,0.06253189717693197
Germany,Female,25+,Adults,Europe,2014,0.05811329877246233
Ghana,Total,15-24,Youth,Africa,2014,0.07528629115295424
Ghana,Total,25+,Adults,Africa,2014,0.07528629115295424
Ghana,Female,15-24,Youth,Africa,2014,0.12466088264524966
Ghana,Male,15-24,Youth,Africa,2014,0.12561444035563676
Ghana,Male,25+,Adults,Africa,2014,0.04151333637755513
Ghana,Female,25+,Adults,Africa,2014,0.04281608423540788
Greece,Male,25+,Adults,Europe,2014,0.2961803970023369
Greece,Total,25+,Adults,Europe,2014,0.3344973004915523
Greece,Total,15-24,Youth,Europe,2014,0.7083322141341428
Greece,Male,15-24,Youth,Europe,2014,0.63880308361761
Greece,Female,15-24,Youth,Europe,2014,0.7913857476698273
Greece,Female,25+,Adults,Europe,2014,0.3820677428886084
Guam,Male,25+,Adults,Oceania,2014,0.0824894571436246
Guam,Female,25+,Adults,Oceania,2014,0.06355260683875474
Guam,Female,15-24,Youth,Oceania,2014,0.24490316688602973
Guam,Male,15-24,Youth,Oceania,2014,0.23593166617421904
Guatemala,Female,25+,Adults,North America,2014,0.020830535335356847
Guatemala,Male,15-24,Youth,North America,2014,0.06074565526874211
Guatemala,Male,25+,Adults,North America,2014,0.019017432646592714
Guatemala,Female,15-24,Youth,North America,2014,0.11113647962609793
Guatemala,Total,15-24,Youth,North America,2014,0.07823202342260067
Guatemala,Total,25+,Adults,North America,2014,0.02007843347927691
Guinea,Total,15-24,Youth,Africa,2014,0.07420738313322052
Guinea,Total,25+,Adults,Africa,2014,0.07420738313322052
Guinea,Female,15-24,Youth,Africa,2014,0.09511402401353784
Guinea,Female,25+,Adults,Africa,2014,0.05538692954417255
Guinea,Male,15-24,Youth,Africa,2014,0.08708265062182707
Guinea,Male,25+,Adults,Africa,2014,0.06967686480969137
Guinea-Bissau,Male,25+,Adults,Africa,2014,0.049705874452711594
Guinea-Bissau,Male,15-24,Youth,Africa,2014,0.05440651105321121
Guinea-Bissau,Total,15-24,Youth,Africa,2014,0.0471003787370061
Guinea-Bissau,Female,15-24,Youth,Africa,2014,0.05715974106207527
Guinea-Bissau,Total,25+,Adults,Africa,2014,0.0471003787370061
Guinea-Bissau,Female,25+,Adults,Africa,2014,0.03267613956861586
Guyana,Male,25+,Adults,South America,2014,0.11450750758817053
Guyana,Total,15-24,Youth,South America,2014,0.21509441564371862
Guyana,Female,15-24,Youth,South America,2014,0.4243466115125306
Guyana,Female,25+,Adults,South America,2014,0.1301404818824035
Guyana,Male,15-24,Youth,South America,2014,0.2623358134787397
Guyana,Total,25+,Adults,South America,2014,0.21509441564371862
